Fecha;Año;Mes;Publicidad;Bonos;Afiliados;Patrocinio;Total Gastos
2013-01-01;2013;Enero;6056129;2443546;1102163;266825;9868663
2013-02-01;2013;Febrero;5793865;3013126;1099009;219788;10125788
2013-03-01;2013;Marzo;6747101;3006975;909130;235332;10898538
2013-04-01;2013;Abril;6730506;2793074;1121471;222304;10867355
2013-05-01;2013;Mayo;4946858;2596839;987123;206306;8737126
2013-06-01;2013;Junio;4165578;2391619;913810;158020;7629026
2013-07-01;2013;Julio;3929530;2092994;868677;57202;6948404
2013-08-01;2013;Agosto;4164487;2710022;874314;34055;7782878
2013-09-01;2013;Septiembre;5483994;2810468;862961;79775;9237198
2013-10-01;2013;Octubre;8301738;3031278;959487;33303;12325805
2013-11-01;2013;Noviembre;4160912;2579989;1204885;24541;7970327
2013-12-01;2013;Diciembre;7115679;1008727;916117;26593;9067116
2014-01-01;2014;Enero;5945325;2067724;1113198;86239;9212486
2014-02-01;2014;Febrero;6021848;2254895;1046108;46432;9369282
2014-03-01;2014;Marzo;4707094;2627975;1238904;3959;8577933
2014-04-01;2014;Abril;8104500;2116712;925181;27806;11174198
2014-05-01;2014;Mayo;9032345;2136421;1011985;13858;12194608
2014-06-01;2014;Junio;6110291;3010897;1160600;15641;10297429
2014-07-01;2014;Julio;5305719;2298847;947538;18952;8571056
2014-08-01;2014;Agosto;2599601;2364989;1044514;80546;6089649
2014-09-01;2014;Septiembre;4734622;1950959;1010405;152000;7847986
2014-10-01;2014;Octubre;5208303;2758243;1014816;205860;9187221
2014-11-01;2014;Noviembre;6981159;2520796;1022447;151337;10675739
2014-12-01;2014;Diciembre;7944133;2001947;1061515;155546;11163141
2015-01-01;2015;Enero;5074672;1534290;1321287;0;7930249
2015-02-01;2015;Febrero;8297769;1689038;1043213;0;11030020
2015-03-01;2015;Marzo;9024967;2095509;1313065;0;12433540
2015-04-01;2015;Abril;6651898;1821038;902295;21126;9396357
2015-05-01;2015;Mayo;7988967;1836601;739723;18084;10583375
2015-06-01;2015;Junio;4445996;2498216;1093954;14597;8052763
2015-07-01;2015;Julio;4659178;2710871;821494;14617;8206161
2015-08-01;2015;Agosto;6687688;4814720;1221722;8927;12733056
2015-09-01;2015;Septiembre;6638859;4638282;1379390;6507;12663038
2015-10-01;2015;Octubre;5976564;4071344;1252711;55951;11356569
2015-11-01;2015;Noviembre;6576354;4117813;1061834;62705;11818706
2015-12-01;2015;Diciembre;10719196;5565622;1764410;123664;18172891
2016-01-01;2016;Enero;7362186;5133251;1865172;61150;14421759
2016-02-01;2016;Febrero;12388867;6416923;1334294;341952;20482036
2016-03-01;2016;Marzo;12799042;7212365;1684890;136058;21832356
2016-04-01;2016;Abril;8893032;8823299;1439266;283978;19439575
2016-05-01;2016;Mayo;11386479;7284850;1489803;286068;20447200
2016-06-01;2016;Junio;9475449;8582443;1490328;268496;19816716
2016-07-01;2016;Julio;4506342;7740285;1618443;155996;14021067
2016-08-01;2016;Agosto;7968653;9262685;1488576;208927;18928842
2016-09-01;2016;Septiembre;7036632;10834556;1728740;280225;19880152
