Fecha;GGR_Total;Cantidades_Total
2013-01-01;20966725;490782627
2013-02-01;20277768;456031108
2013-03-01;20920774;498364413
2013-04-01;19963714;462357636
2013-05-01;19847994;459168566
2013-06-01;15701377;430164856
2013-07-01;16576495;416404052
2013-08-01;17984846;438996240
2013-09-01;16976383;468137362
2013-10-01;19402482;501561916
2013-11-01;19825616;471645785
2013-12-01;20196410;499132637
2014-01-01;23277254;542753713
2014-02-01;20376206;501714529
2014-03-01;23991398;536708031
2014-04-01;15396780;496166155
2014-05-01;20906142;545616457
2014-06-01;22348031;523327627
2014-07-01;18282277;499975807
2014-08-01;20561032;514760831
2014-09-01;22617619;547993625
2014-10-01;20600664;611651907
2014-11-01;21590047;625143940
2014-12-01;22886145;609488782
2015-01-01;24319279;667495950
2015-02-01;26011117;637427285
2015-03-01;26603622;689634173
2015-04-01;20224595;700750885
2015-05-01;19228858;696330510
2015-06-01;23244284;660066650
2015-07-01;21904049;619107539
2015-08-01;30203467;687859200
2015-09-01;31410810;774639045
2015-10-01;30581946;810746152
2015-11-01;26857321;817843816
2015-12-01;36528702;800279697
2016-01-01;33568505;878062698
2016-02-01;32346251;859879365
2016-03-01;35899081;923758576
2016-04-01;29242114;937387254
2016-05-01;32336616;911771940
2016-06-01;36535852;880218442
2016-07-01;31796548;818095145
2016-08-01;33212843;834503701
2016-09-01;37369345;926331862
2016-10-01;41215639;961913124
2016-11-01;43140484;946865462
2016-12-01;39492640;1004375054
2017-01-01;51206666;1045301687
2017-02-01;35242132;1012598531
2017-03-01;40537804;1140739874
2017-04-01;42723076;1134974920
2017-05-01;42844883;1109694427
2017-06-01;33732111;1030903109
2017-07-01;41880056;1003178053
2017-08-01;47458560;1096017611
2017-09-01;50631406;1172298329
2017-10-01;57212912;1196781790
2017-11-01;50900557;1137562968
2017-12-01;62978001;1218402260
2018-01-01;59709700;1298821677
2018-02-01;48728166;1291835838
2018-03-01;51982503;1506558660
2018-04-01;55264525;1378448547
2018-05-01;45375678;1387139044
2018-06-01;66516248;1397773038
2018-07-01;59526161;1368738945
2018-08-01;59212051;1362185548
2018-09-01;63288291;1499658278
2018-10-01;62559056;1638020637
2018-11-01;63701175;1637374105
2018-12-01;63195710;1566662861
2019-01-01;58510878;1583471960
2019-02-01;70863311;1456617873
2019-03-01;64434700;1595119030
2019-04-01;64209675;1574891222
2019-05-01;57970262;1571681984
2019-06-01;55242344;1451210077
2019-07-01;59730437;1426817036
2019-08-01;63117560;1528792846
2019-09-01;68891932;1612483421
2019-10-01;61530524;1636691211
2019-11-01;59185494;1617400743
2019-12-01;64557151;1723679733
2020-01-01;77826512;1611017398
2020-02-01;72661360;1537922135
2020-03-01;67392647;1655170942
2020-04-01;65778261;1555040460
2020-05-01;68811675;1596085626
2020-06-01;74306507;1602665489
2020-07-01;69864542;1640669354
2020-08-01;63050142;1791917486
2020-09-01;59773495;1958286016
2020-10-01;83875803;2100694132
2020-11-01;62663168;2284962994
2020-12-01;84739199;2265352214
2021-01-01;91895714;2314606126
2021-02-01;82923935;2336403945
2021-03-01;65203579;2390641524
2021-04-01;74606903;2309013309
2021-05-01;71975731;2258418272
2021-06-01;69347414;2000232853
2021-07-01;62923191;1999986178
2021-08-01;62283430;2116069486
2021-09-01;58222487;2252983830
2021-10-01;42006141;2475628980
2021-11-01;61695569;2307157168
2021-12-01;72153540;2411295617
2022-01-01;74398697;2515724876
2022-02-01;58528739;2379263909
2022-03-01;69061307;2520470459
2022-04-01;64656071;2601762393
2022-05-01;61991234;2441610076
2022-06-01;74961957;2075463118
2022-07-01;84267640;2112630165
2022-08-01;81404040;2288129784
2022-09-01;80484123;2523808143
2022-10-01;108408822;2641670857
2022-11-01;105722514;2533467303
2022-12-01;99445012;2710631285
2023-01-01;103070366;2751874909
2023-02-01;81150029;2546990206
2023-03-01;117979120;2656956692
2023-04-01;103432967;2628990166
2023-05-01;115393810;2646735208
2023-06-01;93786966;2389617608
2023-07-01;103611009;2413823481
2023-08-01;101006437;2514467399
2023-09-01;99639848;2711107259
2023-10-01;68456765;2857454341
2023-11-01;114925672;2729638967
2023-12-01;131912163;2977663984
2024-01-01;113877043;2974480120
2024-02-01;123514420;2789161246
2024-03-01;112757965;2889646756
2024-04-01;101740078;2679608885
2024-05-01;128910143;2758843152
2024-06-01;115722175;2816294726
2024-07-01;101915306;2967146181
2024-08-01;131766702;2863137239
2024-09-01;114309141;2935771024
2024-10-01;116843308;3143113003
2024-11-01;149275837;3067778235
2024-12-01;142927292;3198015536
2025-01-01;134046499;3331683107
2025-02-01;126654924;3159826329
2025-03-01;137887221;3547980570
2025-04-01;156115776;3281425668
2025-05-01;135310917;3317232196
2025-06-01;119635561;3220111395
2025-07-01;153842780;3182168243
2025-08-01;156878030;3312579740
2025-09-01;94644484;3499053177
2025-10-01;157145166;3654454924
2025-11-01;178918473;3534992752
2025-12-01;149474091;3752772540
