Fecha;GGR_Ap_Deportivas;GGR_Casino;GGR_Otros;GGR_Poker
2013-01-01;9846343;2833831;1722831;6563720
2013-02-01;10327299;2940668;1225738;5784063
2013-03-01;10594017;3027864;1229955;6068938
2013-04-01;10124959;2960787;1358845;5519123
2013-05-01;10012855;2797436;1305391;5732312
2013-06-01;6785325;2704634;1069277;5142141
2013-07-01;7589155;2774755;1083272;5129313
2013-08-01;8938693;2557572;1237883;5250698
2013-09-01;7824584;2646741;1128385;5376673
2013-10-01;9485068;3045163;1179463;5692788
2013-11-01;10249536;2590199;1340217;5645664
2013-12-01;9382464;2845761;2102219;5865966
2014-01-01;12297851;3017641;1606097;6355665
2014-02-01;10443425;2844268;1352701;5735812
2014-03-01;14259165;2973710;1154478;5604045
2014-04-01;6372892;2955246;1004055;5064587
2014-05-01;11179339;3094301;1258459;5374043
2014-06-01;13475438;3097704;800395;4974494
2014-07-01;8466024;2977092;1117820;5721341
2014-08-01;11214611;2485868;1013773;5846780
2014-09-01;12931437;3024393;997002;5664787
2014-10-01;10395352;3435079;1044129;5726104
2014-11-01;10816512;4006148;1268462;5498925
2014-12-01;12030778;3614875;1834531;5405961
2015-01-01;13138777;3645833;1362412;6172257
2015-02-01;15594524;4143280;1086075;5187238
2015-03-01;15585936;4460083;1105490;5452113
2015-04-01;9350215;4522123;1252023;5100234
2015-05-01;8729605;4635565;1130862;4732826
2015-06-01;11993733;4292615;2409394;4548542
2015-07-01;10417943;4063227;2741885;4680994
2015-08-01;18821191;3818284;2666228;4897764
2015-09-01;18541843;4259588;3771050;4838329
2015-10-01;16589179;4444377;4430397;5117993
2015-11-01;13094997;4556180;4220387;4985757
2015-12-01;21166255;5077539;5830176;4454732
2016-01-01;18804757;5062474;4646664;5054610
2016-02-01;18044768;4733294;4679677;4888512
2016-03-01;20209533;5767721;5075313;4846514
2016-04-01;13346017;5558891;5677042;4660164
2016-05-01;16102617;5636560;5711360;4886079
2016-06-01;21761383;5176417;5393537;4204515
2016-07-01;15982545;4955009;6421605;4437389
2016-08-01;17735057;4534384;6318074;4625328
2016-09-01;21297375;5152811;6190760;4728399
2016-10-01;23932112;5614568;6708758;4960201
2016-11-01;25453233;6079445;6614827;4992979
2016-12-01;19333329;6296841;8583152;5279318
2017-01-01;31713804;6717508;7386322;5389032
2017-02-01;17348441;5764497;7376908;4752286
2017-03-01;20236645;7423061;7857991;5020107
2017-04-01;21729441;7045779;8913830;5034026
2017-05-01;23490511;6424331;8169670;4760371
2017-06-01;13314658;6701718;9080127;4635608
2017-07-01;19784774;6911048;10343434;4840800
2017-08-01;25608480;6987468;10029340;4833272
2017-09-01;29429078;7584305;8627510;4990513
2017-10-01;35256453;7763008;9163169;5030282
2017-11-01;28572864;7278654;9962399;5086640
2017-12-01;36870626;8257056;12527561;5322758
2018-01-01;33274370;8799346;11192063;6443921
2018-02-01;22846958;8477336;10090156;7313716
2018-03-01;22155955;9423446;12688448;7714654
2018-04-01;28917129;8850124;10888209;6609063
2018-05-01;19105256;8161040;11571606;6537776
2018-06-01;38283771;8912323;13018745;6301409
2018-07-01;30746381;9008260;13281822;6489698
2018-08-01;31339502;8561962;12987253;6323334
2018-09-01;34143307;9082228;12847360;7215396
2018-10-01;33627051;8859311;13241914;6830780
2018-11-01;33776719;9245771;13675168;7003517
2018-12-01;31757479;10126354;14272650;7039227
2019-01-01;27150002;9436463;14233793;7690620
2019-02-01;41978232;9174765;12911234;6799080
2019-03-01;31790826;10509418;15227038;6907418
2019-04-01;33709623;9462618;14722632;6314802
2019-05-01;27028372;9356464;15032621;6552805
2019-06-01;23864190;9933368;14957149;6487637
2019-07-01;28250994;8964550;16249019;6265874
2019-08-01;34950824;9354300;12658162;6154274
2019-09-01;36158841;9843977;14831450;8057664
2019-10-01;29838415;9264088;15708957;6719064
2019-11-01;28252106;9756125;14923081;6254182
2019-12-01;30520129;11148486;15822611;7065925
2020-01-01;43075321;10728804;16515855;7506532
2020-02-01;39920033;10802504;15417980;6520843
2020-03-01;26444156;12735252;18040449;10172790
2020-04-01;13254484;14751724;20655278;17116775
2020-05-01;18945453;15313478;21343094;13209650
2020-06-01;34198248;11577357;20659934;7870968
2020-07-01;33024317;11021431;18095247;7723547
2020-08-01;25234762;11920198;18223631;7671551
2020-09-01;25824151;11120141;15262716;7566487
2020-10-01;46518641;12922978;16683970;7750214
2020-11-01;18627472;16089511;19408908;8537277
2020-12-01;39644271;15681962;20757769;8655197
2021-01-01;45166321;15079865;21898456;9751072
2021-02-01;40539079;14810191;19928418;7646247
2021-03-01;23545877;14740682;19361722;7555298
2021-04-01;32826781;14907289;19103999;7768834
2021-05-01;30661631;14495069;20414072;6404959
2021-06-01;31296747;12387028;19494937;6168702
2021-07-01;22547365;12873443;20985896;6516487
2021-08-01;21758181;12477312;21733618;6314319
2021-09-01;18247750;12551189;20672627;6750921
2021-10-01;-754085;13424551;22809010;6526665
2021-11-01;20681466;12449203;21761527;6803373
2021-12-01;23350890;15579095;26010891;7212664
2022-01-01;27580131;14908230;23851802;8058534
2022-02-01;14405041;15701867;21542635;6879196
2022-03-01;22709213;15485675;23902280;6964139
2022-04-01;17991877;15490050;24404928;6769216
2022-05-01;14128149;14991147;26089289;6782649
2022-06-01;27355533;15253520;25711521;6641383
2022-07-01;32942292;15446611;28858323;7020414
2022-08-01;31374626;14840855;28245372;6943187
2022-09-01;26903148;17857990;27713766;8009219
2022-10-01;53211791;18013458;28993193;8190380
2022-11-01;51321455;18041589;27841276;8518194
2022-12-01;35288647;22258169;32551913;9346283
2023-01-01;45155911;18951136;29821385;9141934
2023-02-01;25725722;19212182;27375673;8836452
2023-03-01;57884473;19758430;30955634;9380583
2023-04-01;40881570;20094632;33687299;8769466
2023-05-01;54484255;19401184;32898706;8609665
2023-06-01;36142424;17380271;31883286;8380985
2023-07-01;40581511;18878921;35547999;8602578
2023-08-01;36585831;20893211;34839100;8688295
2023-09-01;34701833;19986395;35428455;9523165
2023-10-01;4831186;21053431;35839417;6732731
2023-11-01;49992463;20852931;34672346;9407932
2023-12-01;58172245;23480530;40993438;9265950
2024-01-01;43477574;22786391;37074418;10538660
2024-02-01;56118262;23471241;35277579;8647338
2024-03-01;48374315;24464070;30655015;9264565
2024-04-01;37675334;19012279;36231756;8820709
2024-05-01;59698110;20696726;40464011;8051296
2024-06-01;46375903;20959295;39695139;8691838
2024-07-01;34787620;19886075;42632897;4608714
2024-08-01;59563045;20902311;44640313;6661033
2024-09-01;40208459;20814217;44036256;9250209
2024-10-01;43548945;19839728;44893361;8561274
2024-11-01;74445653;21458818;45032389;8338977
2024-12-01;57632681;24907767;51741482;8645362
2025-01-01;55343622;20510447;47889518;10302912
2025-02-01;53104379;20513291;45209536;7827718
2025-03-01;56029601;23422410;51048610;7386600
2025-04-01;81448728;21515404;48331126;4820518
2025-05-01;53278992;23334973;52756904;5940048
2025-06-01;35681899;23012769;52588578;8352315
2025-07-01;67699887;23844898;54858820;7439175
2025-08-01;69763869;23277987;57404316;6431858
2025-09-01;10656553;22489867;53658069;7839995
2025-10-01;67325749;24806386;54107297;10905734
2025-11-01;87418743;23452256;58225394;9822080
2025-12-01;54832612;25699604;60529997;8411878
