Fecha;Tasa_paro
2025-10-01;9.93
2025-07-01;10.45
2025-04-01;10.29
2025-01-01;11.36
2024-10-01;10.61
2024-07-01;11.21
2024-04-01;11.27
2024-01-01;12.29
2023-10-01;11.8
2023-07-01;11.89
2023-04-01;11.67
2023-01-01;13.38
2022-10-01;12.99
2022-07-01;12.73
2022-04-01;12.69
2022-01-01;13.73
2021-10-01;13.44
2021-07-01;14.71
2021-04-01;15.39
2021-01-01;16.14
2020-10-01;16.13
2020-07-01;16.26
2020-04-01;15.33
2020-01-01;14.41
2019-10-01;13.78
2019-07-01;13.92
2019-04-01;14.02
2019-01-01;14.7
2018-10-01;14.45
2018-07-01;14.55
2018-04-01;15.28
2018-01-01;16.74
2017-10-01;16.55
2017-07-01;16.38
2017-04-01;17.22
2017-01-01;18.75
2016-10-01;18.63
2016-07-01;18.91
2016-04-01;20.0
2016-01-01;21.0
2015-10-01;20.9
2015-07-01;21.18
2015-04-01;22.37
2015-01-01;23.78
2014-10-01;23.7
2014-07-01;23.67
2014-04-01;24.47
2014-01-01;25.93
2013-10-01;25.73
2013-07-01;25.65
2013-04-01;26.06
2013-01-01;26.94
