Fecha;PIB_var_anual
2024-04-01;3.2562
2024-01-01;2.5334
2023-10-01;1.997
2023-07-01;1.5402
2023-04-01;2.1315
2023-01-01;4.4676
2022-10-01;3.7751
2022-07-01;5.5184
2022-04-01;6.9401
2022-01-01;7.0464
2021-10-01;7.069
2021-07-01;5.2658
2021-04-01;19.1043
2021-01-01;-4.0209
2020-10-01;-9.0859
2020-07-01;-9.0927
2020-04-01;-21.9489
2020-01-01;-4.1983
2019-10-01;1.4583
2019-07-01;1.8636
2019-04-01;1.8931
2019-01-01;2.7714
2018-10-01;2.5077
2018-07-01;1.8394
2018-04-01;2.3469
2018-01-01;2.4434
2017-10-01;3.1004
2017-07-01;2.9202
2017-04-01;3.3311
2017-01-01;2.5263
2016-10-01;2.1758
2016-07-01;3.0707
2016-04-01;3.3083
2016-01-01;3.6539
2015-10-01;4.0496
2015-07-01;4.1494
2015-04-01;3.9311
2015-01-01;3.1917
2014-10-01;2.2448
2014-07-01;1.711
2014-04-01;0.8109
2014-01-01;0.7828
2013-10-01;-0.5423
2013-07-01;-0.9055
2013-04-01;-1.2348
2013-01-01;-2.9697
