Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T3;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T2;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T1;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T3;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T2;117,6105
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T1;112,6556
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T4;117,0608
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T3;112,8600
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T2;113,9016
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T1;109,8721
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T4;114,7688
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T3;111,1481
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T2;111,5244
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T1;105,1733
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T4;110,5938
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T3;105,3353
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T2;104,2869
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T1;98,2502
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T4;103,2920
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T3;100,0660
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T2;87,5593
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T1;102,3663
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T4;113,6149
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T3;110,0748
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T2;112,1819
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T1;106,8522
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T4;111,9819
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T3;108,0609
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T2;110,0977
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T1;103,9708
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T4;109,2425
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T3;106,1091
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T2;107,5731
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T1;101,4909
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T4;105,9573
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T3;103,0984
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T2;104,1052
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T1;98,9901
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T4;103,7010
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T3;100,0269
