Edad;Sexo;Periodo;Total
Total;Ambos sexos;2025T4;9,93
Total;Ambos sexos;2025T3;10,45
Total;Ambos sexos;2025T2;10,29
Total;Ambos sexos;2025T1;11,36
Total;Ambos sexos;2024T4;10,61
Total;Ambos sexos;2024T3;11,21
Total;Ambos sexos;2024T2;11,27
Total;Ambos sexos;2024T1;12,29
Total;Ambos sexos;2023T4;11,80
Total;Ambos sexos;2023T3;11,89
Total;Ambos sexos;2023T2;11,67
Total;Ambos sexos;2023T1;13,38
Total;Ambos sexos;2022T4;12,99
Total;Ambos sexos;2022T3;12,73
Total;Ambos sexos;2022T2;12,69
Total;Ambos sexos;2022T1;13,73
Total;Ambos sexos;2021T4;13,44
Total;Ambos sexos;2021T3;14,71
Total;Ambos sexos;2021T2;15,39
Total;Ambos sexos;2021T1;16,14
Total;Ambos sexos;2020T4;16,13
Total;Ambos sexos;2020T3;16,26
Total;Ambos sexos;2020T2;15,33
Total;Ambos sexos;2020T1;14,41
Total;Ambos sexos;2019T4;13,78
Total;Ambos sexos;2019T3;13,92
Total;Ambos sexos;2019T2;14,02
Total;Ambos sexos;2019T1;14,70
Total;Ambos sexos;2018T4;14,45
Total;Ambos sexos;2018T3;14,55
Total;Ambos sexos;2018T2;15,28
Total;Ambos sexos;2018T1;16,74
Total;Ambos sexos;2017T4;16,55
Total;Ambos sexos;2017T3;16,38
Total;Ambos sexos;2017T2;17,22
Total;Ambos sexos;2017T1;18,75
Total;Ambos sexos;2016T4;18,63
Total;Ambos sexos;2016T3;18,91
Total;Ambos sexos;2016T2;20,00
Total;Ambos sexos;2016T1;21,00
Total;Ambos sexos;2015T4;20,90
Total;Ambos sexos;2015T3;21,18
Total;Ambos sexos;2015T2;22,37
Total;Ambos sexos;2015T1;23,78
Total;Ambos sexos;2014T4;23,70
Total;Ambos sexos;2014T3;23,67
Total;Ambos sexos;2014T2;24,47
Total;Ambos sexos;2014T1;25,93
Total;Ambos sexos;2013T4;25,73
Total;Ambos sexos;2013T3;25,65
Total;Ambos sexos;2013T2;26,06
Total;Ambos sexos;2013T1;26,94
Total;Ambos sexos;2012T4;25,77
Total;Ambos sexos;2012T3;24,79
Total;Ambos sexos;2012T2;24,40
Total;Ambos sexos;2012T1;24,19
Total;Ambos sexos;2011T4;22,56
Total;Ambos sexos;2011T3;21,28
Total;Ambos sexos;2011T2;20,64
Total;Ambos sexos;2011T1;21,08
Total;Ambos sexos;2010T4;20,11
Total;Ambos sexos;2010T3;19,59
Total;Ambos sexos;2010T2;19,89
Total;Ambos sexos;2010T1;19,84
Total;Ambos sexos;2009T4;18,66
Total;Ambos sexos;2009T3;17,75
Total;Ambos sexos;2009T2;17,77
Total;Ambos sexos;2009T1;17,24
Total;Ambos sexos;2008T4;13,79
Total;Ambos sexos;2008T3;11,23
Total;Ambos sexos;2008T2;10,36
Total;Ambos sexos;2008T1;9,60
Total;Ambos sexos;2007T4;8,57
Total;Ambos sexos;2007T3;8,01
Total;Ambos sexos;2007T2;7,93
Total;Ambos sexos;2007T1;8,42
Total;Ambos sexos;2006T4;8,26
Total;Ambos sexos;2006T3;8,08
Total;Ambos sexos;2006T2;8,44
Total;Ambos sexos;2006T1;9,03
Total;Ambos sexos;2005T4;8,71
Total;Ambos sexos;2005T3;8,41
Total;Ambos sexos;2005T2;9,32
Total;Ambos sexos;2005T1;10,17
Total;Ambos sexos;2004T4;10,53
Total;Ambos sexos;2004T3;10,74
Total;Ambos sexos;2004T2;11,09
Total;Ambos sexos;2004T1;11,50
Total;Ambos sexos;2003T4;11,37
Total;Ambos sexos;2003T3;11,30
Total;Ambos sexos;2003T2;11,28
Total;Ambos sexos;2003T1;11,99
Total;Ambos sexos;2002T4;11,61
Total;Ambos sexos;2002T3;11,49
Total;Ambos sexos;2002T2;11,15
Total;Ambos sexos;2002T1;11,55
Total;Hombres;2025T4;8,76
Total;Hombres;2025T3;8,97
Total;Hombres;2025T2;9,20
Total;Hombres;2025T1;10,14
Total;Hombres;2024T4;9,53
Total;Hombres;2024T3;10,02
Total;Hombres;2024T2;10,08
Total;Hombres;2024T1;11,00
Total;Hombres;2023T4;10,42
Total;Hombres;2023T3;10,32
Total;Hombres;2023T2;10,27
Total;Hombres;2023T1;11,68
Total;Hombres;2022T4;11,44
Total;Hombres;2022T3;10,81
Total;Hombres;2022T2;11,17
Total;Hombres;2022T1;12,17
Total;Hombres;2021T4;11,93
Total;Hombres;2021T3;13,16
Total;Hombres;2021T2;13,57
Total;Hombres;2021T1;14,24
Total;Hombres;2020T4;14,17
Total;Hombres;2020T3;14,39
Total;Hombres;2020T2;14,13
Total;Hombres;2020T1;12,79
Total;Hombres;2019T4;12,23
Total;Hombres;2019T3;12,17
Total;Hombres;2019T2;12,49
Total;Hombres;2019T1;12,90
Total;Hombres;2018T4;12,87
Total;Hombres;2018T3;13,12
Total;Hombres;2018T2;13,72
Total;Hombres;2018T1;15,18
Total;Hombres;2017T4;14,97
Total;Hombres;2017T3;14,80
Total;Hombres;2017T2;15,64
Total;Hombres;2017T1;17,22
Total;Hombres;2016T4;17,22
Total;Hombres;2016T3;17,39
Total;Hombres;2016T2;18,41
Total;Hombres;2016T1;19,45
Total;Hombres;2015T4;19,49
Total;Hombres;2015T3;19,90
Total;Hombres;2015T2;20,96
Total;Hombres;2015T1;22,74
Total;Hombres;2014T4;22,80
Total;Hombres;2014T3;22,53
Total;Hombres;2014T2;23,70
Total;Hombres;2014T1;25,37
Total;Hombres;2013T4;25,04
Total;Hombres;2013T3;25,19
Total;Hombres;2013T2;25,50
Total;Hombres;2013T1;26,66
Total;Hombres;2012T4;25,40
Total;Hombres;2012T3;24,54
Total;Hombres;2012T2;24,43
Total;Hombres;2012T1;23,96
Total;Hombres;2011T4;22,26
Total;Hombres;2011T3;20,90
Total;Hombres;2011T2;20,42
Total;Hombres;2011T1;20,60
Total;Hombres;2010T4;19,80
Total;Hombres;2010T3;19,12
Total;Hombres;2010T2;19,56
Total;Hombres;2010T1;19,80
Total;Hombres;2009T4;18,56
Total;Hombres;2009T3;17,62
Total;Hombres;2009T2;17,56
Total;Hombres;2009T1;16,85
Total;Hombres;2008T4;12,96
Total;Hombres;2008T3;10,29
Total;Hombres;2008T2;9,06
Total;Hombres;2008T1;7,90
Total;Hombres;2007T4;6,89
Total;Hombres;2007T3;6,25
Total;Hombres;2007T2;6,15
Total;Hombres;2007T1;6,34
Total;Hombres;2006T4;6,12
Total;Hombres;2006T3;6,05
Total;Hombres;2006T2;6,38
Total;Hombres;2006T1;6,86
Total;Hombres;2005T4;6,73
Total;Hombres;2005T3;6,56
Total;Hombres;2005T2;7,41
Total;Hombres;2005T1;7,84
Total;Hombres;2004T4;7,83
Total;Hombres;2004T3;8,20
Total;Hombres;2004T2;8,33
Total;Hombres;2004T1;8,68
Total;Hombres;2003T4;8,58
Total;Hombres;2003T3;8,39
Total;Hombres;2003T2;8,27
Total;Hombres;2003T1;8,76
Total;Hombres;2002T4;8,65
Total;Hombres;2002T3;8,33
Total;Hombres;2002T2;7,86
Total;Hombres;2002T1;8,36
Total;Mujeres;2025T4;11,24
Total;Mujeres;2025T3;12,11
Total;Mujeres;2025T2;11,50
Total;Mujeres;2025T1;12,72
Total;Mujeres;2024T4;11,83
Total;Mujeres;2024T3;12,54
Total;Mujeres;2024T2;12,61
Total;Mujeres;2024T1;13,73
Total;Mujeres;2023T4;13,33
Total;Mujeres;2023T3;13,66
Total;Mujeres;2023T2;13,24
Total;Mujeres;2023T1;15,27
Total;Mujeres;2022T4;14,74
