"Año";"Trimestre";"Mes";"Juego";"Cantidades jugadas";"GGR"
2013;"2013.T1";"Enero";"Ap. Cruzadas";0;0
2013;"2013.T1";"Enero";"Ap. Dep. de Contrap. Convencionales";162047262;9846318
2013;"2013.T1";"Enero";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T1";"Enero";"Ap. Deportivas Mutuas";25;25
2013;"2013.T1";"Enero";"Ap. Hípicas de Contrapartida";1283698;93668
2013;"2013.T1";"Enero";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T1";"Enero";"Bingo";5233357;611491
2013;"2013.T1";"Enero";"Black Jack";31834559;812724
2013;"2013.T1";"Enero";"Concursos";1441042;1012354
2013;"2013.T1";"Enero";"Juegos Complementarios";31836;5318
2013;"2013.T1";"Enero";"Máquinas de Azar";0;0
2013;"2013.T1";"Enero";"Otras Ap. de Contrapartida";0;0
2013;"2013.T1";"Enero";"Punto y Banca";234997;6866
2013;"2013.T1";"Enero";"Póquer Cash";168951627;4348393
2013;"2013.T1";"Enero";"Póquer Torneo";45284781;2215327
2013;"2013.T1";"Enero";"Ruleta Convencional";74439443;2014241
2013;"2013.T1";"Enero";"Ruleta en Vivo";0;0
2013;"2013.T1";"Febrero";"Ap. Cruzadas";0;0
2013;"2013.T1";"Febrero";"Ap. Dep. de Contrap. Convencionales";157694814;10317605
2013;"2013.T1";"Febrero";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T1";"Febrero";"Ap. Deportivas Mutuas";13739;9694
2013;"2013.T1";"Febrero";"Ap. Hípicas de Contrapartida";1021289;66877
2013;"2013.T1";"Febrero";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T1";"Febrero";"Bingo";4522912;532667
2013;"2013.T1";"Febrero";"Black Jack";28028922;834214
2013;"2013.T1";"Febrero";"Concursos";946386;623394
2013;"2013.T1";"Febrero";"Juegos Complementarios";23377;2800
2013;"2013.T1";"Febrero";"Máquinas de Azar";0;0
2013;"2013.T1";"Febrero";"Otras Ap. de Contrapartida";599;0
2013;"2013.T1";"Febrero";"Punto y Banca";142746;3141
2013;"2013.T1";"Febrero";"Póquer Cash";149377971;3840514
2013;"2013.T1";"Febrero";"Póquer Torneo";39699626;1943549
2013;"2013.T1";"Febrero";"Ruleta Convencional";74558727;2103313
2013;"2013.T1";"Febrero";"Ruleta en Vivo";0;0
2013;"2013.T1";"Marzo";"Ap. Cruzadas";0;0
2013;"2013.T1";"Marzo";"Ap. Dep. de Contrap. Convencionales";172671200;10557605
2013;"2013.T1";"Marzo";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T1";"Marzo";"Ap. Deportivas Mutuas";62887;36412
2013;"2013.T1";"Marzo";"Ap. Hípicas de Contrapartida";1542232;63300
2013;"2013.T1";"Marzo";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T1";"Marzo";"Bingo";4582470;595101
2013;"2013.T1";"Marzo";"Black Jack";32602485;786502
2013;"2013.T1";"Marzo";"Concursos";856381;569655
2013;"2013.T1";"Marzo";"Juegos Complementarios";21714;1899
2013;"2013.T1";"Marzo";"Máquinas de Azar";0;0
2013;"2013.T1";"Marzo";"Otras Ap. de Contrapartida";154;0
2013;"2013.T1";"Marzo";"Punto y Banca";112883;2530
2013;"2013.T1";"Marzo";"Póquer Cash";156030065;3999514
2013;"2013.T1";"Marzo";"Póquer Torneo";41243059;2069424
2013;"2013.T1";"Marzo";"Ruleta Convencional";88638883;2238832
2013;"2013.T1";"Marzo";"Ruleta en Vivo";0;0
2013;"2013.T2";"Abril";"Ap. Cruzadas";0;0
2013;"2013.T2";"Abril";"Ap. Dep. de Contrap. Convencionales";159740095;10109343
2013;"2013.T2";"Abril";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T2";"Abril";"Ap. Deportivas Mutuas";57470;15553
2013;"2013.T2";"Abril";"Ap. Hípicas de Contrapartida";1567041;175759
2013;"2013.T2";"Abril";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T2";"Abril";"Bingo";4222029;550734
2013;"2013.T2";"Abril";"Black Jack";30258652;831032
2013;"2013.T2";"Abril";"Concursos";922443;631209
2013;"2013.T2";"Abril";"Juegos Complementarios";14914;1143
2013;"2013.T2";"Abril";"Máquinas de Azar";0;0
2013;"2013.T2";"Abril";"Otras Ap. de Contrapartida";5970;63
2013;"2013.T2";"Abril";"Punto y Banca";81295;1499
2013;"2013.T2";"Abril";"Póquer Cash";146001504;3723006
2013;"2013.T2";"Abril";"Póquer Torneo";40079724;1796117
2013;"2013.T2";"Abril";"Ruleta Convencional";79406499;2128256
2013;"2013.T2";"Abril";"Ruleta en Vivo";0;0
2013;"2013.T2";"Mayo";"Ap. Cruzadas";0;0
2013;"2013.T2";"Mayo";"Ap. Dep. de Contrap. Convencionales";154806640;9988459
2013;"2013.T2";"Mayo";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T2";"Mayo";"Ap. Deportivas Mutuas";47501;21695
2013;"2013.T2";"Mayo";"Ap. Hípicas de Contrapartida";1864772;148618
2013;"2013.T2";"Mayo";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T2";"Mayo";"Bingo";4821443;651859
2013;"2013.T2";"Mayo";"Black Jack";30230645;783706
2013;"2013.T2";"Mayo";"Concursos";775753;502581
2013;"2013.T2";"Mayo";"Juegos Complementarios";19336;2333
2013;"2013.T2";"Mayo";"Máquinas de Azar";0;0
2013;"2013.T2";"Mayo";"Otras Ap. de Contrapartida";388;2701
2013;"2013.T2";"Mayo";"Punto y Banca";83962;2345
2013;"2013.T2";"Mayo";"Póquer Cash";142803930;3791287
2013;"2013.T2";"Mayo";"Póquer Torneo";41107194;1941025
2013;"2013.T2";"Mayo";"Ruleta Convencional";82606925;2011375
2013;"2013.T2";"Mayo";"Ruleta en Vivo";77;10
2013;"2013.T2";"Junio";"Ap. Cruzadas";0;0
